litholog_id,strike_pos_m,depth_m,facies_code,facies_name,gamma_ray
litholog1,0.0,44.0,0,sand,27.607390048162863
litholog1,0.0,45.0,0,sand,31.400778958026457
litholog1,0.0,46.0,0,sand,32.696806145201066
litholog1,0.0,47.0,0,sand,40.285611131094576
litholog1,0.0,48.0,0,sand,36.718091447842305
litholog1,0.0,49.0,1,mud,101.18479922318633
litholog1,0.0,50.0,1,mud,111.62041984697397
litholog1,0.0,51.0,1,mud,108.07458859791842
litholog1,0.0,52.0,1,mud,106.6153899984702
litholog1,0.0,53.0,1,mud,113.05838144420434
litholog1,0.0,54.0,1,mud,115.15499761247976
litholog1,0.0,55.0,1,mud,114.65640059558099
litholog1,0.0,56.0,1,mud,105.80391238388681
litholog1,0.0,57.0,1,mud,108.45393812074393
litholog1,0.0,58.0,2,coal,21.65631715701782
litholog1,0.0,59.0,1,mud,114.8777256356118
litholog1,0.0,60.0,0,sand,32.60412881077355
litholog1,0.0,61.0,0,sand,34.07170511668092
litholog1,0.0,62.0,0,sand,29.46832512996986
litholog1,0.0,63.0,0,sand,29.018966879596647
litholog1,0.0,64.0,0,sand,39.06262911197099
litholog1,0.0,65.0,0,sand,41.78120014285412
litholog1,0.0,66.0,0,sand,34.63994939209833
litholog1,0.0,67.0,0,sand,40.01766448946012
litholog1,0.0,68.0,0,sand,36.808180125238174
litholog1,0.0,69.0,0,sand,31.77440122697438
litholog1,0.0,70.0,0,sand,36.80697802754207
litholog1,0.0,71.0,0,sand,42.690182832329846
litholog1,0.0,72.0,0,sand,34.82086980445024
litholog1,0.0,73.0,1,mud,117.82321827907003
litholog1,0.0,74.0,1,mud,96.90127447955128
litholog1,0.0,75.0,1,mud,114.10951252187611
litholog1,0.0,76.0,1,mud,110.43523534119086
litholog1,0.0,77.0,1,mud,108.50496324767066
litholog1,0.0,78.0,1,mud,110.45880388267751
litholog1,0.0,79.0,1,mud,100.06215542699553
litholog1,0.0,80.0,3,carbon_mud,93.90164056081244
litholog1,0.0,81.0,2,coal,21.78556285755873
litholog1,0.0,82.0,0,sand,42.38947022370758
litholog1,0.0,83.0,0,sand,32.40864890863176
litholog1,0.0,84.0,0,sand,30.95753198553406
litholog1,0.0,85.0,0,sand,32.491214782077314
litholog1,0.0,86.0,0,sand,39.57701058851037
litholog1,0.0,87.0,0,sand,36.64375554829842
litholog1,0.0,88.0,0,sand,32.351198981164806
litholog1,0.0,89.0,0,sand,37.56633716556678
litholog1,0.0,90.0,0,sand,35.4853877467402
litholog1,0.0,91.0,0,sand,39.84322495266444
litholog1,0.0,92.0,0,sand,31.489734530613237
litholog11,0.0,0.0,1,mud,108.36168926701116
litholog11,0.0,1.0,1,mud,108.0394592343392
litholog11,0.0,2.0,1,mud,102.68242525933941
litholog11,0.0,3.0,1,mud,111.48060138532288
litholog11,0.0,4.0,1,mud,111.30527636089944
litholog11,0.0,5.0,3,carbon_mud,95.02556728321231
litholog11,0.0,6.0,3,carbon_mud,93.82706433312427
litholog11,0.0,7.0,3,carbon_mud,87.92314628974793
litholog11,0.0,8.0,0,sand,32.89677338617321
litholog11,0.0,9.0,0,sand,33.286427417366156
litholog11,0.0,10.0,0,sand,30.988613653891903
litholog11,0.0,11.0,4,silt,74.19357144166996
litholog11,0.0,12.0,4,silt,77.02025428407269
litholog11,0.0,13.0,0,sand,44.43092950605265
litholog11,0.0,14.0,0,sand,35.872889064159196
litholog11,0.0,15.0,0,sand,36.28775195361382
litholog11,0.0,16.0,0,sand,34.62777042116917
litholog11,0.0,17.0,0,sand,25.406143923504793
litholog11,0.0,18.0,0,sand,34.867430622753915
litholog11,0.0,19.0,0,sand,35.30115104970513
litholog11,0.0,20.0,0,sand,47.316210562426434
litholog11,0.0,21.0,0,sand,34.03819517609439
litholog11,0.0,22.0,0,sand,36.50773671166806
litholog11,0.0,23.0,0,sand,34.82644115147378
litholog11,0.0,24.0,0,sand,29.15660981190234
litholog11,0.0,25.0,0,sand,40.7141140725751
litholog11,0.0,26.0,0,sand,38.75966516343387
litholog11,0.0,27.0,0,sand,38.95515973521523
litholog11,0.0,28.0,0,sand,30.453062726026303
litholog11,0.0,29.0,0,sand,42.013971554680495
litholog11,0.0,30.0,0,sand,27.990744686038596
litholog11,0.0,31.0,0,sand,37.93428546900135
litholog11,0.0,32.0,1,mud,120.95227812904989
litholog11,0.0,33.0,1,mud,105.04731837434656
litholog11,0.0,34.0,1,mud,107.16851135198614
litholog11,0.0,35.0,3,carbon_mud,95.4982568254382
litholog11,0.0,36.0,3,carbon_mud,92.48262172941901
litholog11,0.0,37.0,3,carbon_mud,87.24668284466934
litholog11,0.0,38.0,3,carbon_mud,95.34281487403014
litholog11,0.0,39.0,3,carbon_mud,89.68848143136948
litholog11,0.0,40.0,3,carbon_mud,97.36796215317591
litholog11,0.0,41.0,3,carbon_mud,90.40287882883098
litholog11,0.0,42.0,2,coal,27.749672025087698
litholog11,0.0,43.0,2,coal,16.083733538318814
litholog11,0.0,44.0,0,sand,33.38969241897162
litholog11,0.0,45.0,0,sand,39.06758608684835
litholog11,0.0,46.0,0,sand,28.845678417830225
litholog11,0.0,47.0,0,sand,36.13729967302065
litholog11,0.0,48.0,0,sand,41.53571377141214
litholog11,0.0,49.0,0,sand,26.96258382719386
litholog11,0.0,50.0,0,sand,35.92316929266152
litholog11,0.0,51.0,0,sand,36.29941397124212
litholog11,0.0,52.0,0,sand,38.909114358886555
litholog11,0.0,53.0,0,sand,28.81524644560959
litholog11,0.0,54.0,0,sand,28.397716934578618
litholog11,0.0,55.0,0,sand,37.60970782808449
litholog11,0.0,56.0,0,sand,36.48492336616593
litholog11,0.0,57.0,0,sand,36.252464251729386
litholog11,0.0,58.0,0,sand,36.73224104748488
litholog11,0.0,60.0,3,carbon_mud,91.59987639210755
litholog11,0.0,61.0,3,carbon_mud,96.16126848580502
litholog11,0.0,62.0,3,carbon_mud,96.46536236649341
litholog11,0.0,63.0,3,carbon_mud,91.42824290986816
litholog11,0.0,64.0,3,carbon_mud,104.32887255572378
litholog11,0.0,65.0,4,silt,77.36916460455893
litholog11,0.0,66.0,4,silt,69.04348251398676
litholog11,0.0,67.0,1,mud,113.28276804316914
litholog11,0.0,68.0,4,silt,70.1265916488634
litholog11,0.0,69.0,3,carbon_mud,98.93542301871226
litholog11,0.0,70.0,3,carbon_mud,100.79297789503703
litholog11,0.0,71.0,3,carbon_mud,90.89658840824144
litholog11,0.0,72.0,1,mud,114.8168806462216
litholog11,0.0,73.0,1,mud,112.06390463468249
litholog11,0.0,74.0,1,mud,114.11030079997245
litholog11,0.0,75.0,1,mud,119.48396491326974
litholog11,0.0,76.0,4,silt,73.77305941998564
litholog11,0.0,77.0,4,silt,71.23131917821256
litholog9,0.0,0.0,1,mud,105.55242785187238
litholog9,0.0,1.0,1,mud,105.92094857517282
litholog9,0.0,2.0,1,mud,109.61449145292949
litholog9,0.0,3.0,1,mud,111.70575987408321
litholog9,0.0,4.0,1,mud,111.38345399665009
litholog9,0.0,5.0,1,mud,114.13591624518011
litholog9,0.0,6.0,1,mud,110.06500945938953
litholog9,0.0,7.0,1,mud,117.26767038578659
litholog9,0.0,8.0,1,mud,108.67671583381022
litholog9,0.0,9.0,1,mud,123.6008458329481
litholog9,0.0,10.0,1,mud,113.12833673882503
litholog9,0.0,11.0,3,carbon_mud,90.71421221791859
litholog9,0.0,12.0,3,carbon_mud,89.64553750969444
litholog9,0.0,13.0,3,carbon_mud,97.41236207621593
litholog9,0.0,14.0,3,carbon_mud,93.88268607337075
litholog9,0.0,15.0,0,sand,38.57000247046046
litholog9,0.0,16.0,0,sand,37.366188122867726
litholog9,0.0,17.0,0,sand,34.63585543671564
litholog9,0.0,19.0,0,sand,30.766031409657977
litholog9,0.0,20.0,0,sand,27.425763876570677
litholog9,0.0,21.0,0,sand,32.767425239664895
litholog9,0.0,22.0,0,sand,39.28199397161736
litholog9,0.0,23.0,0,sand,36.07046872065102
litholog9,0.0,24.0,0,sand,28.771306106440058
litholog9,0.0,25.0,0,sand,35.86590462925591
litholog9,0.0,26.0,0,sand,36.92658689864418
litholog9,0.0,27.0,0,sand,30.580712818994336
litholog9,0.0,28.0,0,sand,35.768625529727636
litholog9,0.0,29.0,4,silt,75.29104359223
litholog9,0.0,30.0,1,mud,104.28514851084688
litholog9,0.0,31.0,1,mud,111.78893680174141
litholog9,0.0,32.0,1,mud,112.80392263184117
litholog9,0.0,33.0,4,silt,80.41525621587638
litholog9,0.0,34.0,4,silt,80.26901026017451
litholog9,0.0,35.0,1,mud,103.11165316021454
litholog9,0.0,36.0,3,carbon_mud,90.31087480042439
litholog9,0.0,37.0,3,carbon_mud,97.5751763360433
litholog9,0.0,38.0,0,sand,37.56892975456105
litholog9,0.0,39.0,0,sand,37.57523843153024
litholog9,0.0,40.0,0,sand,54.26365745327361
litholog9,0.0,41.0,0,sand,37.85445255346583
litholog9,0.0,42.0,0,sand,40.677828200902994
litholog9,0.0,43.0,0,sand,39.770008817466014
litholog9,0.0,44.0,0,sand,38.25695625652899
litholog9,0.0,45.0,0,sand,33.423653776798275
litholog9,0.0,46.0,0,sand,38.79484610246634
litholog9,0.0,47.0,0,sand,31.13587392731214
litholog9,0.0,48.0,4,silt,73.81590696629996
litholog9,0.0,49.0,4,silt,72.57318226085448
litholog9,0.0,50.0,1,mud,110.40937069693162
litholog9,0.0,51.0,1,mud,121.57329283336755
litholog9,0.0,52.0,3,carbon_mud,85.66367403704126
litholog9,0.0,53.0,3,carbon_mud,98.43130095187257
litholog9,0.0,54.0,3,carbon_mud,86.93642064405174
litholog9,0.0,55.0,3,carbon_mud,92.64034067105283
litholog9,0.0,56.0,1,mud,115.44475298483682
litholog9,0.0,57.0,1,mud,110.32140009547732
litholog9,0.0,58.0,1,mud,104.61127611035347
litholog9,0.0,59.0,3,carbon_mud,91.42348145370016
litholog9,0.0,60.0,3,carbon_mud,98.39798874467338
litholog9,0.0,61.0,3,carbon_mud,91.34816684141431
litholog9,0.0,62.0,3,carbon_mud,96.08229294790988
litholog9,0.0,63.0,3,carbon_mud,95.22785919951907
litholog9,0.0,64.0,3,carbon_mud,91.74199826197092
litholog9,0.0,65.0,4,silt,85.71972044662662
litholog9,0.0,66.0,4,silt,78.16959511159006
litholog9,0.0,67.0,4,silt,64.87428706671196
litholog9,0.0,68.0,4,silt,75.93227157384713
litholog9,0.0,69.0,4,silt,71.69106767615806
litholog9,0.0,70.0,0,sand,39.26216667398112
litholog9,0.0,71.0,0,sand,31.037396307836495
litholog9,0.0,72.0,0,sand,34.42631779266551
litholog9,0.0,73.0,0,sand,37.524936394902284
litholog9,0.0,74.0,0,sand,39.32877597085061
litholog9,0.0,75.0,1,mud,103.99851796472112
litholog9,0.0,76.0,1,mud,108.32749382079525
litholog9,0.0,77.0,1,mud,107.62527344419522
